epoch,class,threshold_id,threshold_value,auc,sens,spec,ppv,npv,alert_rate,ece,tp,fp,tn,fn
1,Consolidation,27,0.4012449652917923,0.749,0.009202453987730033,0.9952715482302079,0.07894736842105055,0.9579973992197658,0.004917184265010352,0.3378389448035454,3,35,7367,323
1,Consolidation,28,0.4021214448636578,0.749,0.006134969325153355,0.997973520670089,0.1176470588235225,0.9579821034885228,0.002199792960662526,0.3378389448035454,2,15,7387,324
1,Consolidation,29,0.40299792443552324,0.749,0.006134969325153355,0.9989192110240475,0.19999999999998,0.9580202124902824,0.0012939958592132505,0.3378389448035454,2,8,7394,324
1,Consolidation,30,0.4038744040073887,0.749,0.006134969325153355,0.9993245068900296,0.2857142857142449,0.9580365237663514,0.0009057971014492754,0.3378389448035454,2,5,7397,324
1,Consolidation,31,0.40475088357925415,0.749,0.006134969325153355,0.9997298027560118,0.499999999999875,0.958052822371828,0.0005175983436853002,0.3378389448035454,2,2,7400,324
1,Edema,0,0.36036986112594604,0.78,0.9249999999999943,0.4926004228329809,0.03711133400200601,0.9967914438502672,0.5160455486542443,0.3412156105041504,148,3840,3728,12
1,Edema,1,0.3611064437896975,0.78,0.8999999999999944,0.5200845665961944,0.03813559322033897,0.9959514170040483,0.4886128364389234,0.3412156105041504,144,3632,3936,16
1,Edema,2,0.3618430264534489,0.78,0.8874999999999945,0.546115221987315,0.0396980710092256,0.9956636954950612,0.4628623188405797,0.3412156105041504,142,3435,4133,18
1,Edema,3,0.3625796091172003,0.78,0.8749999999999946,0.5701638477801267,0.041261420571765385,0.9953863898500575,0.4390527950310559,0.3412156105041504,140,3253,4315,20
1,Edema,4,0.3633161917809517,0.78,0.8437499999999948,0.5979122621564481,0.042479546884833214,0.9945054945054943,0.411231884057971,0.3412156105041504,135,3043,4525,25
1,Edema,5,0.36405277444470313,0.78,0.8249999999999948,0.6224894291754756,0.04416192706590832,0.9940915805022155,0.3867753623188406,0.3412156105041504,132,2857,4711,28
1,Edema,6,0.36478935710845456,0.78,0.7937499999999951,0.6477272727272726,0.04547081990691012,0.9933130699088144,0.36141304347826086,0.3412156105041504,127,2666,4902,33
1,Edema,7,0.365525939772206,0.78,0.7687499999999953,0.6708509513742071,0.04705432287681712,0.9927649589362533,0.3382505175983437,0.3412156105041504,123,2491,5077,37
1,Edema,8,0.36626252243595736,0.78,0.7499999999999953,0.693446088794926,0.04918032786885244,0.9924357034795762,0.31573498964803315,0.3412156105041504,120,2320,5248,40
1,Edema,9,0.3669991050997088,0.78,0.7312499999999954,0.7148520084566595,0.05142857142857141,0.9921144324225195,0.29438405797101447,0.3412156105041504,117,2158,5410,43
1,Edema,10,0.3677356877634602,0.78,0.7062499999999956,0.7371828752642705,0.053758325404376764,0.9916459296125132,0.2719979296066253,0.3412156105041504,113,1989,5579,47
1,Edema,11,0.36847227042721165,0.78,0.6374999999999961,0.757267441860465,0.05260443527591539,0.9899809984453272,0.2509057971014493,0.3412156105041504,102,1837,5731,58
1,Edema,12,0.3692088530909631,0.78,0.6249999999999961,0.7785412262156447,0.05630630630630628,0.9899193548387095,0.22981366459627328,0.3412156105041504,100,1676,5892,60
1,Edema,13,0.3699454357547145,0.78,0.5812499999999964,0.7996828752642705,0.05779987569919201,0.9890504984474586,0.208203933747412,0.3412156105041504,93,1516,6052,67
1,Edema,14,0.3706820184184659,0.78,0.5562499999999966,0.816860465116279,0.06033898305084742,0.9886454501839116,0.19086438923395446,0.3412156105041504,89,1386,6182,71
1,Edema,15,0.3714186010822173,0.78,0.5249999999999967,0.8349630021141649,0.06301575393848458,0.9881157154026582,0.1724896480331263,0.3412156105041504,84,1249,6319,76
1,Edema,16,0.37215518374596873,0.78,0.45624999999999716,0.8546511627906975,0.06223358908780899,0.9867276887871852,0.15178571428571427,0.3412156105041504,73,1100,6468,87
1,Edema,17,0.37289176640972016,0.78,0.3999999999999975,0.8753964059196616,0.06355511420059576,0.985716411248326,0.13030538302277433,0.3412156105041504,64,943,6625,96
1,Edema,18,0.3736283490734716,0.78,0.3562499999999978,0.891252642706131,0.0647727272727272,0.9849591121495326,0.11387163561076605,0.3412156105041504,57,823,6745,103
1,Edema,19,0.37436493173722296,0.78,0.2812499999999983,0.9055232558139534,0.059210526315789394,0.9834959816303098,0.09834368530020704,0.3412156105041504,45,715,6853,115
1,Edema,20,0.3751015144009744,0.78,0.23124999999999857,0.9213794926004227,0.05854430379746826,0.9826662908680945,0.08178053830227744,0.3412156105041504,37,595,6973,123
1,Edema,21,0.3758380970647258,0.78,0.18749999999999883,0.9371035940803382,0.059288537549406994,0.9819994461368041,0.06547619047619048,0.3412156105041504,30,476,7092,130
1,Edema,22,0.37657467972847725,0.78,0.13749999999999915,0.9476744186046511,0.05263157894736829,0.9811217510259916,0.05408902691511387,0.3412156105041504,22,396,7172,138
1,Edema,23,0.3773112623922287,0.78,0.09999999999999938,0.9587737843551796,0.0487804878048779,0.9805405405405404,0.042443064182194616,0.3412156105041504,16,312,7256,144
1,Edema,24,0.37804784505598005,0.78,0.08749999999999945,0.9665697674418603,0.05243445692883875,0.9804315775365231,0.03454968944099379,0.3412156105041504,14,253,7315,146
1,Edema,25,0.3787844277197315,0.78,0.05624999999999965,0.9750264270613107,0.04545454545454523,0.9799468791500663,0.02562111801242236,0.3412156105041504,9,189,7379,151
1,Edema,26,0.3795210103834829,0.78,0.05624999999999965,0.9816331923890063,0.060810810810810405,0.9800791556728231,0.019151138716356108,0.3412156105041504,9,139,7429,151
1,Edema,27,0.38025759304723433,0.78,0.04374999999999973,0.9874471458773784,0.06862745098039148,0.9799370574350904,0.013198757763975156,0.3412156105041504,7,95,7473,153
1,Edema,28,0.38099417571098576,0.78,0.031249999999999806,0.9918076109936574,0.07462686567164069,0.9797676543532174,0.008669772256728778,0.3412156105041504,5,62,7506,155
1,Edema,29,0.38173075837473713,0.78,0.024999999999999845,0.9939217758985199,0.07999999999999839,0.9796822089085698,0.006469979296066253,0.3412156105041504,4,46,7522,156
1,Edema,30,0.38246734103848856,0.78,0.024999999999999845,0.9972251585623677,0.15999999999999362,0.9797481500714006,0.0032349896480331265,0.3412156105041504,4,21,7547,156
1,Edema,31,0.38320392370224,0.78,0.018749999999999885,0.9988107822410147,0.24999999999997916,0.9796526697770864,0.0015527950310559005,0.3412156105041504,3,9,7559,157
1,Effusion,0,0.4165705144405365,0.705,0.9191919191919181,0.4294281117449173,0.17351694915254234,0.9760638297872337,0.6107660455486542,0.30614942613426077,819,3901,2936,72
1,Effusion,1,0.4173538492571923,0.705,0.8978675645342302,0.4544390814684803,0.1766004415011037,0.9715447154471542,0.5861801242236024,0.30614942613426077,800,3730,3107,91
1,Effusion,2,0.4181371840738481,0.705,0.8855218855218845,0.4819365218663156,0.18217501731701682,0.9699735060347363,0.5604296066252588,0.30614942613426077,789,3542,3295,102
1,Effusion,3,0.4189205188905039,0.705,0.8641975308641965,0.5091414363024718,0.18662142510906443,0.9664075513603552,0.5339026915113871,0.30614942613426077,770,3356,3481,121
1,Effusion,4,0.41970385370715974,0.705,0.8484848484848475,0.5329823021793183,0.19144087110660923,0.9642762635617886,0.5109989648033126,0.30614942613426077,756,3193,3644,135
1,Effusion,5,0.4204871885238155,0.705,0.8282828282828273,0.5553605382477694,0.19534145050291155,0.9612658227848099,0.488871635610766,0.30614942613426077,738,3040,3797,153
1,Effusion,6,0.4212705233404713,0.705,0.803591470258136,0.5784700892204182,0.19899944413563087,0.9576271186440676,0.46557971014492755,0.30614942613426077,716,2882,3955,175
1,Effusion,7,0.42205385815712715,0.705,0.7699214365881024,0.6004095363463506,0.20070216500877702,0.9524361948955914,0.442287784679089,0.30614942613426077,686,2732,4105,205
1,Effusion,8,0.4228371929737829,0.705,0.7362514029180688,0.6203013017405294,0.20172201722017213,0.9474977658623769,0.42080745341614906,0.30614942613426077,656,2596,4241,235
1,Effusion,9,0.42362052779043874,0.705,0.7115600448933774,0.6372678075179171,0.20359666024405904,0.9442999566536626,0.4029503105590062,0.30614942613426077,634,2480,4357,257
1,Effusion,10,0.42440386260709456,0.705,0.6823793490460149,0.6559894690653795,0.20540540540540533,0.9406459731543623,0.3830227743271222,0.30614942613426077,608,2352,4485,283
1,Effusion,11,0.42518719742375033,0.705,0.6565656565656558,0.6738335527278045,0.20781527531083474,0.9377162629757784,0.36425983436853004,0.30614942613426077,585,2230,4607,306
1,Effusion,12,0.42597053224040615,0.705,0.6352413019079678,0.6934327921603042,0.21262208865514642,0.9358468219502565,0.3444616977225673,0.30614942613426077,566,2096,4741,325
1,Effusion,13,0.426753867057062,0.705,0.6049382716049376,0.7109843498610501,0.214314115308151,0.9324765010550545,0.3254399585921325,0.30614942613426077,539,1976,4861,352
1,Effusion,14,0.4275372018737178,0.705,0.5791245791245785,0.7282433816001169,0.2173546756529064,0.9299589092267462,0.30719461697722567,0.30614942613426077,516,1858,4979,375
1,Effusion,15,0.42832053669037357,0.705,0.5533108866442193,0.7455024133391838,0.2207792207792207,0.9275705186533211,0.28894927536231885,0.30614942613426077,493,1740,5097,398
1,Effusion,16,0.4291038715070294,0.705,0.5218855218855213,0.7658329676758812,0.22507260406582758,0.924761568350406,0.26733954451345754,0.30614942613426077,465,1601,5236,426
1,Effusion,17,0.4298872063236852,0.705,0.49943883277216555,0.780166739798157,0.2284394250513346,0.9228373702422143,0.2520703933747412,0.30614942613426077,445,1503,5334,446
1,Effusion,18,0.430670541140341,0.705,0.47699214365880976,0.7945005119204328,0.23224043715846984,0.9209901661580195,0.23680124223602483,0.30614942613426077,425,1405,5432,466
1,Effusion,19,0.4314538759569968,0.705,0.4466891133557795,0.8113207547169811,0.2357819905213269,0.9183774834437085,0.21842650103519667,0.30614942613426077,398,1290,5547,493
1,Effusion,20,0.4322372107736526,0.705,0.41414141414141364,0.8262395787626151,0.23699421965317904,0.9154107924161399,0.2014751552795031,0.30614942613426077,369,1188,5649,522
1,Effusion,21,0.4330205455903084,0.705,0.37822671156004445,0.8427672955974842,0.23866855524079306,0.9122862571247624,0.18271221532091098,0.30614942613426077,337,1075,5762,554
1,Effusion,22,0.4338038804069642,0.705,0.3456790123456786,0.8563697528155623,0.23875968992248045,0.9094439266853058,0.1669254658385093,0.30614942613426077,308,982,5855,583
